Variable Name,Units,Definition,Type,Comments,Possible Scenario Grouping
DS.NPV_Investment,US Dollars,"Net Present Value of potential investment in tankage/eqip, discounted to now in simulation",array | sector interface,,
DS.NPV_Investment_RP,US Dollars,"Net Present Value of potential investment in tankage/eqip, discounted to now in simulation",array | sector interface,,
DS.NPV_Net_Inc_Revs,US Dollars,Calculates NPV of net incremental revenues from the potential investment,array | internal calculation,,
DS.NPV_Taxes,US Dollars,Calculates NPV of taxes associated with incremental investment,array | internal calculation,,
DS.NPV_Taxes_1,US Dollars,Calculates NPV of taxes during first years of plant productive life.  Specific time for NPV calculation is controlled by SMALLER of depreciation period or loan term,array | internal calculation,,
DS.NPV_Taxes_1_RP,US Dollars,Calculates NPV of taxes during first years of plant productive life.  Specific time for NPV calculation is controlled by SMALLER of depreciation period or loan term. Associated with repurposing investment,array | internal calculation,,
DS.NPV_Taxes_2,US Dollars,Calculates NPV of taxes during portion portion of plant lifetime AFTER depreciation OR loan period--whichever is shorter-- and BEFORE both loan repayment and depreciation are completed,array | internal calculation,,
DS.NPV_Taxes_2_RP,US Dollars,Calculates NPV of taxes during portion portion of plant lifetime AFTER depreciation OR loan period--whichever is shorter-- and BEFORE both loan repayment and depreciation are completed. Associated with repurposing investment,array | internal calculation,,
DS.NPV_Taxes_3,US Dollars,Calculates NPV of taxes during portion portion of plant lifetime AFTER depreciation and loan period,array | internal calculation,,
DS.NPV_Taxes_RP,US Dollars,Calculates PV of taxes associated with incremental investment. Associated with repurposing investment,array | internal calculation,,
DS.NPV_Threshold_for_Investment,US Dollars,Threshold for NPV calculation that triggers positive hit rate for investment in tankage/equip,scalar | constant | assumed value,,
DS.one_station,Stations,One station,scalar | constant | unit conversion,,
DS.Per_Station_FCI_Subs,US Dollars,Amount of total project Fixed Capital Investment subsidy associated with new investment,array | internal calculation,,
DS.Per_Station_Repurpose_Subs,US Dollars,Amount of total project Fixed Capital Investment subsidy associated with repurposing midgrade tank &amp; equip,array | internal calculation,,
DS.putting_on_table_RP,stations/years,flux in stations per yr of putting repurpose decision on the table for consideration,array | internal calculation,,
DS.putting_on_the_table,stations/years,flux in stations per yr of putting investment decision on the table for consideration,array | internal calculation,,
DS.PV_Loan_Payment,US Dollars,Calculates NPV of loan payments over length of loan,array | internal calculation,,
DS.PV_Loan_Payment_RP,US Dollars,Calculates NPV of loan payments over length of loan,array | internal calculation,,
DS.rate_of_putting_on_table,per year,fractional rate at which susceptible stations determine to consider investment in hi-blend tankage and equipment.,scalar | constant | assumed value | scenario input,,
DS.regional_dispensing_station_distn,Unitless,regional distribution of ALL dispensing stations in the us,array | constant,,
DS.regional_sales_vol_gas_eq_per_mo,gallons per month,Calculates the regional amt of gas equivalent per month coming out of all stations,array | internal calculation,,
DS.repurp_subs_stop_time,years,sets stop time for subsidies associated with investment in repurposed tankage and equipment,scalar | constant | scenario input,,Downstream
DS.Repurpose_subs_switch,Unitless,Policy switch to facilitate testing of capital subsidy for repurposing,scalar | constant | scenario input,,Downstream
DS.repurposing_to_HiBlend,stations/years,flux in stations per yr of deciding to repurpose mid-grade tankage/equipment,array | internal calculation,,
DS.reqd_rate_of_return,per year,Project rate of return required to stimulate investment in a project,scalar | constant | scenario input,,
DS.Rough_Estimate_Annual_Interest,US dollars per year,Avg amount of interest paid per year over life of loan,array | internal calculation,,
DS.Rough_Estimate_Annual_Interest_RP,US dollars per year,Avg amount of interest paid per year over life of loan,array | internal calculation,,
DS.Share_Current_HiBlend_CapableTraffic_to_Hi_Blend_Weighting_Factor,Unitless,Weighting factor for calculating expected share of current hi-blend capable traffic that will make switch to using hiblend if tankage were present,array | constant | assumed value,,
DS.Station_Coverage,Unitless,Fraction of all stations in the region who have hiblend capability,Array | Internal Calculation | Module Interface,,
DS.taking_off_table_RP,stations/years,flux in stations per yr of taking repurpose decision off the table from consideration,array | internal calculation,,
DS.taking_off_the_table,stations/years,flux in stations per yr of taking investment decision off the table from consideration,array | internal calculation,,
DS.term_of_loan,years,Length of project loan,scalar | constant | scenario input,,
DS.total_hi_blend_investable_by_region,stations,total stations who must invest or have invested in hi blend tankage and equipment (equals total stations net of repurposable/repurposed stations,array | internal calculation,,
DS.total_initial_stations,stations,Initial count of dispensing stations in US,scalar | constant,,
DS.total_initial_stations_by_region,stations,"Initial count of dispensing stations in US, distributed by region",array | internal calculation,,
DS.Total_Net_Expected_Incremental_Revenues,US dollars per year,total net incremental revenues associated with potential investment,array | internal calculation,,
DS.Total_Potential_Fuel_Consn_Gasoline_from_VM,gallons per year,module interface to V.Regional Potential gasoline consn,array | module interface,,
DS.Total_potential_hi_blend_consn_from_VM,gallons per year,module interface to V.regional potential hi blend consn FFV,array | module interface,,
DS.total_project_length,years,Project lifetime for investment in hiblend equipment investment,scalar | constant | technoeconomic input,,
DS.total_RP_by_region,stations,Total number of repurposable Stations By Region,array | internal calculation,,
DS.total_stations_by_region,stations,Total number of stations (By Region) in system,array | internal calculation | sector interface,,
DS.Total_User_Wtd_HiBlend_Share_from_Fuel_Use,unitless,module interface to FU.Total User Wtd Hi Blend Share,array | module interface,,
DS.total_with_hi_blend_by_region,stations,Total number of stations (By Region) with Hi Blend Capacity,array | internal calculation,,
DS.VM_regional_vehicle_penetration_by_tech,unitless,module interface to V.regional V share by tech,array | module interface,,
DS.Volume_Per_Visit,gallons per visit,Expected avg size of fill-up,array | constant,,
DS.volumetric_offset_for_investment,Unitless,Calculates energy-offset for hi blend vs regular gasoliie use--used as input to frequency of visits associated with hi blend use,array | internal calculation,,
DS.With_Hi_Blend_Investment,stations,stock of stations (By Region) with Hi Blend Capacity,array | internal calculation,,
DS.With_Hi_Blend_RP,stations,Stock of Stations (By Region) with Hi Blend Capacity,array | internal calculation,,
FL.acres_per_square_mile,acres per square mile,converts between acres and square miles,scalar | constant | unit conversion,,
FL.adv_harv_efficiency_residue,Unitless,"sets fraction of yield actually removed via harvest, for advanced harvest regime, for residues",scalar | constant | technoeconomic input,,FL Module Inputs
FL.adv_harvest_efficiency_HC,Unitless,"sets fraction of yield actually removed via harvest, for advanced harvest regime, for herbaceous cellulosic crops",scalar | constant | technoeconomic input,,FL Module Inputs
FL.adv_harvest_efficiency_WC,Unitless,"sets fraction of yield actually removed via harvest, for advanced harvest regime, for woody cellulosic crops",scalar | constant | technoeconomic input,,FL Module Inputs
FL.adv_storage_loss_factor_HC,Unitless,"sets fraction of harvested yield that remains after considering losses in storage, for advanced harvest regime, for herbaceous cellulosic crops",scalar | constant | technoeconomic input,,FL Module Inputs
FL.adv_storage_loss_factor_residue,Unitless,"sets fraction of harvested yield that remains after considering losses in storage, for advanced harvest regime, for residues",scalar | constant | technoeconomic input,,FL Module Inputs
FL.adv_storage_loss_factor_WC,Unitless,"sets fraction of harvested yield that remains after considering losses in storage, for advanced harvest regime, for woody cellulosic crops",scalar | constant | technoeconomic input,,FL Module Inputs
